type;name;gnd-id;gnd-url;bemerkungen;gnd-name;lobid-search-url;j-special;j-geburt;j-tod
persName;Adelheid von Schorn;116919566;http://d-nb.info/gnd/116919566;;Schorn, Adelheid von;http://lobid.org/gnd/search?q=Adelheid+von+Schorn;;1841;1916
persName;Friedrich Wilhelm Schubert;115795588;;;Schubert, Friedrich Wilhelm;;;1799;1868
persName;Levin Schücking;118762109;http://d-nb.info/gnd/118762109;;Schücking, Levin;http://lobid.org/gnd/search?q=Levin+Schücking;;1814;1883
persName;Georg Schweinfurth;118760041;;;Schweinfurth, Georg;http://lobid.org/gnd/search?q=Georg+Schweinfurth;;1836;1925
persName;Götz Burkhard Graf von Seckendorff;117462802;http://d-nb.info/gnd/117462802;;Seckendorff, Goetz Burkhard von;http://lobid.org/gnd/search?q=Götz+Burkhard+Graf+von+Seckendorff;;1842;1910
persName;Elisabeth Seeburg;117442895;http://d-nb.info/gnd/117442895;;Seeburg, Elisabeth;http://lobid.org/gnd/search?q=Elisabeth+Seeburg;;1817;1888
persName;Leopoldo Serra;;;;Serra, Leopoldo;;;1829;1912
persName;Quintino Sella;118877801;;;Sella, Quintino;;;1827;1884
persName;Giovanni Sforza;117460508;;;Sforza, Giovanni;;;1846;1922
persName;David Silvagni;;;;Silvagni, David;;;1831;1897
persName;Isidor Singer;151309280;;;Singer, Isidor;http://lobid.org/gnd/search?q=Isidor+Singer;;1857;1927
persName;Rudolf Ferdinand Leopold Skrzeczka;101773641;;;Skrzeczka, Rudolf Ferdinand Leopold ;;;1808;1874
persName;Natalie Skrzeczka;;;;Skrzeczka, Natalie;http://lobid.org/gnd/search?q=Natalie+Skrzeczka;;;
persName;Familie Skrzeczka;;;;Skrzeczka, Familie;;;;
persName;Frau Skrzeczka;;;;Skrzeczka, Frau;;;;
persName;Damaskēnos Spēliōtopulos;117491101;http://d-nb.info/gnd/117491101;;Spēliōtopulos, Damaskēnos;http://lobid.org/gnd/search?q=Damaskēnos+Spēliōtopulos;;;
orgName;Stadt Rom;4050471-2;;;Stadt Rom;http://lobid.org/gnd/search?q=Stadt+Rom;;;
persName;Josef Spithöver;119553538;;;Spithöver, Joseph;;;1813;1892
persName;Salomon Ludwig Steinheim;118753290;;;Steinheim, Salomon Ludwig;;;1789;1866
persName;Johanna Steinheim;119372185;;;Steinheim, Johanna ;;;1792;1882
persName;Henry Stevenson;121591255;;;Stevenson, Henry;;;1854;1898
persName;Gustavo Strafforello;172641365;;;Strafforello, Gustavo ;;;1820;1903
persName;Ludwig Stieda;117244791;;;Stieda, Ludwig;;;1837;1918
persName;Karl Stieler;118618113;;;Stieler, Karl;http://lobid.org/gnd/search?q=Karl+Stieler;;1842;1885
persName;Max Leberecht Strack;117305383;;;Stack, Max Leberecht;;;1816;1883
persName;Hermann Sucro;117365963;http://d-nb.info/gnd/117365963;;Sucro, Hermann;http://lobid.org/gnd/search?q=Hermann+Sucro;;;
persName;Anna Freifrau von der Tann;117200336;;;Tann, Anna Freifrau von der;;;1829;1905
persName;Luigi Alfonso Tardini;;;;Tardini, Luigi Alfonso;;;;
persName;Adolf Graf von Taube;117233412;;;Taube, Adolf Graf von;;;1810;1889
persName;Bayard Taylor;118756311;http://d-nb.info/gnd/118756311;;Taylor, Bayard;http://lobid.org/gnd/search?q=Bayard+Taylor;;1825;1878
persName;Cäcilie Tellenbach;;;;Tellenbach, Cäcilie;;;1818;1888
persName;Louisa Cutler Terry;;;;Terry, Luisa Cutler;;;1823;1897
persName;Hermann von Thile;117340995;http://d-nb.info/gnd/117340995;;Thile, Hermann von;http://lobid.org/gnd/search?q=Hermann+von+Thile;;1812;1889
persName;Ottilie von Thile;117341053;http://d-nb.info/gnd/117341053;;Thile, Ottilie von;http://lobid.org/gnd/search?q=Ottilie+von+Thile;;1816;1898
persName;Friederike Thon;;;;Thon, Friederike;;;;
persName;Niccolò Tommaseo;118802518;;;Tommaseo, Niccolò;;;1802;1874
persName;Oreste Tommasini;117405078;http://d-nb.info/gnd/117405078;;Tommasini, Oreste;http://lobid.org/gnd/search?q=Oreste+Tommasini;;1844;1919
persName;Domenico Tordi;119098768;;;Tordi, Domenico;;;1857;1933
persName;Vincenzo Fardella Marchese di Torrearsa;11556165X;;;Fardella, Vincenzo, Marchese di Torrearsa;;;1808;1889
persName;Luigi Tosti;118974955;http://d-nb.info/gnd/118974955;;Tosti, Luigi;http://lobid.org/gnd/search?q=Luigi+Tosti;;1811;1897
persName;Cesare Trevisani;11741705X;http://d-nb.info/gnd/11741705X;;Trevisani, Cesare;http://lobid.org/gnd/search?q=Cesare+Trevisani;;1819;1917
persName;Theodor von Troschke;117423394;http://d-nb.info/gnd/117423394;;Troschke, Theodor von;http://lobid.org/gnd/search?q=Theodor+von+Troschke;;1810;1876
persName;Gustav Tyson-Wolff;129470740;http://d-nb.info/gnd/129470740;;Tyson-Wolff, Gustav;http://lobid.org/gnd/search?q=Gustav+Tyson-Wolff;;1840;1907
persName;Joseph Unger;118763725;;;Unger, Joseph;http://lobid.org/gnd/search?q=Joseph+Unger;;1828;1913
